,layers.8.conv1,layers.8.conv0,layers.7.conv1,layers.7.conv0,layers.6.conv1,layers.6.conv0,layers.5.conv1,layers.5.conv0,layers.4.conv1,layers.4.conv0,layers.3.conv1,layers.3.conv0,layers.2.conv1,layers.2.conv0,layers.1.conv1,layers.1.conv0,layers.0.conv1,layers.0.conv0
num_q_codes,36864.0,36864.0,36864.0,36864.0,36864.0,18432.0,9216.0,9216.0,9216.0,9216.0,9216.0,4608.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0
num_in_range,34493.4,33389.8,34341.4,33265.0,34270.4,16324.0,8407.4,8108.6,8515.2,8131.8,8396.4,3976.2,2089.6,1989.8,2087.0,1990.4,2099.6,2006.6
num_out_of_range,2370.6,3474.2,2522.6,3599.0,2593.6,2108.0,808.6,1107.4,700.8,1084.2,819.6,631.8,214.4,314.2,217.0,313.6,204.4,297.4
num_cont_representable,34489.2,33385.6,34336.0,33259.6,34266.6,16320.8,8406.2,8107.0,8514.2,8131.0,8395.6,3975.4,2089.6,1989.4,2087.0,1990.0,2099.0,2006.6
num_remaining,4.2,4.2,5.4,5.4,3.8,3.2,1.2,1.6,1.0,0.8,0.8,0.8,0.0,0.4,0.0,0.4,0.6,0.0
range_time,0.005562877655029297,0.0057871341705322266,0.005557632446289063,0.005532073974609375,0.005580234527587891,0.0028892993927001954,0.0013074398040771485,0.0013095378875732423,0.001543140411376953,0.0015597343444824219,0.001423215866088867,0.0007752418518066406,0.000499725341796875,0.0004787445068359375,0.000542306900024414,0.0005239963531494141,0.00046367645263671874,0.000491189956665039
cont_time,0.0037424564361572266,0.003775882720947266,0.003760242462158203,0.0037468433380126952,0.003751707077026367,0.001927328109741211,0.0009860515594482422,0.0009859085083007812,0.0012079238891601562,0.0012272357940673827,0.0010165691375732422,0.0005527019500732421,0.0002818107604980469,0.0002952098846435547,0.0002902507781982422,0.00032501220703125,0.00032711029052734375,0.00029511451721191405
sparsity_time,1.6127999782562257,1.5757673740386964,1.6563686847686767,1.6294707775115966,1.6638289451599122,1.664260196685791,1.6038702011108399,1.5840712070465088,1.5564571857452392,1.5367549896240233,1.6088850498199463,1.598057794570923,1.6482417583465576,1.5587785720825196,1.5852273464202882,1.526997709274292,1.5666391849517822,1.4797482013702392
cvm_time,1.9874038696289062,1.8861470699310303,1.9927731037139893,1.9911113739013673,2.090823221206665,2.0538058280944824,1.655392551422119,2.014998769760132,1.579230260848999,1.2748005390167236,1.2292115688323975,1.6865124225616455,4.6300888061523435e-05,0.40473527908325196,6.108283996582031e-05,0.8302363395690918,1.272494649887085,4.868507385253906e-05
total_time,3.6095091819763185,3.4714774608612062,3.6584596633911133,3.629861068725586,3.7639841079711913,3.7228826522827148,3.2615562438964845,3.6013654232025147,3.138438510894775,2.814342498779297,2.8405364036560057,3.2858981609344484,1.649069595336914,1.964287805557251,1.5861209869384765,2.3580830574035643,2.839924621582031,1.4805831909179688
num_fawdable,34490.2,33386.6,34339.4,33261.6,34269.0,16322.6,8406.6,8107.8,8514.8,8131.2,8396.2,3975.8,2089.6,1989.6,2087.0,1990.0,2099.2,2006.6
num_cvm,2373.8,3477.4,2524.6,3602.4,2595.0,2109.4,809.4,1108.2,701.2,1084.8,819.8,632.2,214.4,314.4,217.0,314.0,204.8,297.4
num_cvm_in_remaining,3.2,3.2,2.0,3.4,1.4,1.4,0.8,0.8,0.4,0.6,0.2,0.4,0.0,0.2,0.0,0.4,0.4,0.0
num_fawd_in_remaining,1.0,1.0,3.4,2.0,2.4,1.8,0.4,0.8,0.6,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.2,0.0
perc_fawdable,0.9356065538194445,0.9056694878472221,0.9315158420138889,0.9022786458333334,0.9296061197916666,0.8855577256944445,0.9121744791666666,0.8797526041666666,0.9239149305555555,0.8822916666666668,0.9110460069444445,0.8628038194444445,0.9069444444444444,0.8635416666666667,0.9058159722222221,0.8637152777777777,0.9111111111111111,0.870920138888889
perc_cvm,0.06439344618055555,0.09433051215277778,0.06848415798611111,0.09772135416666668,0.07039388020833333,0.11444227430555556,0.08782552083333332,0.12024739583333333,0.07608506944444444,0.11770833333333335,0.08895399305555557,0.13719618055555555,0.09305555555555556,0.13645833333333332,0.09418402777777778,0.13628472222222224,0.08888888888888888,0.1290798611111111
err_out_of_range,15366.4,24874.4,16729.0,25395.2,17068.8,15379.0,5423.4,7909.2,4650.6,7791.0,5647.8,4753.6,1484.8,2276.2,1532.4,2343.8,1392.8,2212.8
err_reduced_precision,4.2,3.6,2.4,4.2,1.6,2.0,1.2,0.8,0.4,0.8,0.2,0.4,0.0,0.4,0.0,0.4,0.8,0.0
err_total,15370.6,24878.0,16731.4,25399.4,17070.4,15381.0,5424.6,7910.0,4651.0,7791.8,5648.0,4754.0,1484.8,2276.6,1532.4,2344.2,1393.6,2212.8
quant_err,0.060150146484375,0.034759521484375,0.052093505859375,0.0345458984375,0.046173095703125,0.0350341796875,0.050018310546875,0.0305023193359375,0.04949951171875,0.03033447265625,0.04864501953125,0.03466796875,0.04669189453125,0.031463623046875,0.047760009765625,0.030120849609375,0.047698974609375,0.0312347412109375
fault_err,0.06151123046875,0.03614501953125,0.05335693359375,0.035955810546875,0.04730224609375,0.036865234375,0.05172119140625,0.032232666015625,0.05086669921875,0.03201904296875,0.050360107421875,0.037091064453125,0.048406982421875,0.033642578125,0.049603271484375,0.032342529296875,0.049285888671875,0.03336181640625
