,layers.8.conv1,layers.8.conv0,layers.7.conv1,layers.7.conv0,layers.6.conv1,layers.6.conv0,layers.5.conv1,layers.5.conv0,layers.4.conv1,layers.4.conv0,layers.3.conv1,layers.3.conv0,layers.2.conv1,layers.2.conv0,layers.1.conv1,layers.1.conv0,layers.0.conv1,layers.0.conv0
num_q_codes,36864.0,36864.0,36864.0,36864.0,36864.0,18432.0,9216.0,9216.0,9216.0,9216.0,9216.0,4608.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0
num_in_range,34252.0,32768.0,33936.0,32556.0,34021.0,15877.0,8266.0,7904.0,8451.0,7934.0,8276.0,3770.0,2077.0,1909.0,2040.0,1916.0,2071.0,1909.0
num_out_of_range,2612.0,4096.0,2928.0,4308.0,2843.0,2555.0,950.0,1312.0,765.0,1282.0,940.0,838.0,227.0,395.0,264.0,388.0,233.0,395.0
num_cont_representable,34241.0,32757.0,33926.0,32542.0,34002.0,15872.0,8264.0,7900.0,8447.0,7930.0,8275.0,3770.0,2077.0,1909.0,2039.0,1916.0,2070.0,1908.0
num_remaining,11.0,11.0,10.0,14.0,19.0,5.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
range_time,0.007997751235961914,0.009355306625366211,0.01088261604309082,0.008269309997558594,0.01772618293762207,0.005484580993652344,0.002796173095703125,0.0028505325317382812,0.005318164825439453,0.01073455810546875,0.002750396728515625,0.0021185874938964844,0.0008807182312011719,0.0007977485656738281,0.0008633136749267578,0.0008938312530517578,0.002427339553833008,0.0007665157318115234
cont_time,0.0048716068267822266,0.005064725875854492,0.005098104476928711,0.0049114227294921875,0.005960702896118164,0.002513885498046875,0.001252889633178711,0.0013501644134521484,0.0019829273223876953,0.001287698745727539,0.0013132095336914062,0.0006940364837646484,0.00044655799865722656,0.0003838539123535156,0.00040268898010253906,0.0003769397735595703,0.0009834766387939453,0.00035452842712402344
sparsity_time,5.0067901611328125e-06,5.245208740234375e-06,4.291534423828125e-06,4.291534423828125e-06,7.62939453125e-06,4.76837158203125e-06,3.814697265625e-06,3.5762786865234375e-06,4.0531158447265625e-06,2.86102294921875e-06,2.384185791015625e-06,6.67572021484375e-06,2.6226043701171875e-06,2.1457672119140625e-06,4.291534423828125e-06,3.337860107421875e-06,1.9788742065429688e-05,1.6689300537109375e-06
cvm_time,1.7921693325042725,1.8192753791809082,1.8416838645935059,1.862621784210205,1.9069972038269043,1.9179439544677734,1.8242335319519043,1.7411527633666992,1.939610481262207,1.9096908569335938,1.797837734222412,3.552436828613281e-05,2.9087066650390625e-05,3.1948089599609375e-05,1.7854082584381104,1.9550323486328125e-05,1.7576792240142822,1.694711685180664
total_time,1.8050436973571777,1.8337006568908691,1.8576688766479492,1.8758068084716797,1.9306917190551758,1.9259471893310547,1.8282864093780518,1.7453570365905762,1.946915626525879,1.9217159748077393,1.8019037246704102,0.0028548240661621094,0.0013589859008789062,0.0012156963348388672,1.7866785526275635,0.0012936592102050781,1.7611098289489746,1.6958343982696533
num_fawdable,34251.0,32766.0,33934.0,32550.0,34017.0,15875.0,8264.0,7904.0,8449.0,7933.0,8276.0,3770.0,2077.0,1909.0,2040.0,1916.0,2071.0,1909.0
num_cvm,2613.0,4098.0,2930.0,4314.0,2847.0,2557.0,952.0,1312.0,767.0,1283.0,940.0,838.0,227.0,395.0,264.0,388.0,233.0,395.0
num_cvm_in_remaining,1.0,2.0,2.0,6.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_fawd_in_remaining,10.0,9.0,8.0,8.0,15.0,3.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
perc_fawdable,0.9291178385416666,0.8888346354166666,0.9205186631944444,0.8829752604166666,0.9227701822916666,0.8612738715277778,0.8967013888888888,0.8576388888888888,0.9167751736111112,0.8607855902777778,0.8980034722222222,0.8181423611111112,0.9014756944444444,0.8285590277777778,0.8854166666666666,0.8315972222222222,0.8988715277777778,0.8285590277777778
perc_cvm,0.07088216145833333,0.11116536458333333,0.07948133680555555,0.11702473958333333,0.07722981770833333,0.1387261284722222,0.1032986111111111,0.1423611111111111,0.0832248263888889,0.1392144097222222,0.10199652777777778,0.1818576388888889,0.09852430555555555,0.1714409722222222,0.11458333333333333,0.1684027777777778,0.10112847222222222,0.1714409722222222
err_out_of_range,245712.0,389174.0,269700.0,408294.0,254852.0,237996.0,84881.0,127628.0,71579.0,120722.0,87118.0,82436.0,22001.0,38266.0,25808.0,38071.0,22025.0,37474.0
err_reduced_precision,1.0,4.0,2.0,10.0,7.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
err_total,245713.0,389178.0,269702.0,408304.0,254859.0,237998.0,84884.0,127628.0,71581.0,120723.0,87118.0,82436.0,22001.0,38266.0,25808.0,38071.0,22025.0,37474.0
quant_err,0.060150146484375,0.0347900390625,0.052093505859375,0.034576416015625,0.046142578125,0.0350341796875,0.049957275390625,0.0305023193359375,0.049468994140625,0.03033447265625,0.04864501953125,0.034637451171875,0.04669189453125,0.031494140625,0.047760009765625,0.0301055908203125,0.04766845703125,0.03125
fault_err,0.061431884765625,0.036041259765625,0.05328369140625,0.035888671875,0.047149658203125,0.03668212890625,0.051544189453125,0.032135009765625,0.05072021484375,0.0318603515625,0.050201416015625,0.037109375,0.048187255859375,0.033660888671875,0.049591064453125,0.0322265625,0.04913330078125,0.033355712890625
