,layers.8.conv1,layers.8.conv0,layers.7.conv1,layers.7.conv0,layers.6.conv1,layers.6.conv0,layers.5.conv1,layers.5.conv0,layers.4.conv1,layers.4.conv0,layers.3.conv1,layers.3.conv0,layers.2.conv1,layers.2.conv0,layers.1.conv1,layers.1.conv0,layers.0.conv1,layers.0.conv0
num_q_codes,36864.0,36864.0,36864.0,36864.0,36864.0,18432.0,9216.0,9216.0,9216.0,9216.0,9216.0,4608.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0
num_in_range,34479.2,33392.45,34290.5,33262.55,34307.95,16341.35,8400.65,8110.45,8507.65,8136.6,8382.35,3977.5,2093.75,2000.6,2088.35,1984.2,2101.4,1994.65
num_out_of_range,2384.8,3471.55,2573.5,3601.45,2556.05,2090.65,815.35,1105.55,708.35,1079.4,833.65,630.5,210.25,303.4,215.65,319.8,202.6,309.35
num_cont_representable,34473.35,33386.6,34285.1,33256.9,34302.6,16338.55,8399.05,8108.85,8506.25,8135.55,8380.85,3977.15,2093.5,2000.35,2088.05,1984.05,2101.05,1994.4
num_remaining,5.85,5.85,5.4,5.65,5.35,2.8,1.6,1.6,1.4,1.05,1.5,0.35,0.25,0.25,0.3,0.15,0.35,0.25
range_time,0.0058364391326904295,0.005952000617980957,0.006191396713256836,0.006257939338684082,0.008135414123535157,0.003786945343017578,0.0018907308578491211,0.002280080318450928,0.0018959522247314453,0.0020113229751586915,0.002466750144958496,0.0009632349014282226,0.0005328059196472168,0.0007575511932373047,0.0005303740501403809,0.0005803465843200684,0.000492262840270996,0.000575864315032959
cont_time,0.0040490031242370605,0.0039492487907409664,0.004277670383453369,0.004355204105377197,0.006667327880859375,0.0025646209716796873,0.0016971826553344727,0.0014718890190124512,0.00208820104598999,0.0015432238578796387,0.002443838119506836,0.0011214613914489746,0.0003643631935119629,0.000395810604095459,0.0003016352653503418,0.0003120660781860352,0.00034711360931396487,0.0009395003318786622
sparsity_time,1.8882018446922302,1.876149094104767,1.810103178024292,1.8576865315437316,1.9069064736366272,1.9041586995124817,1.8649230241775512,1.8669248580932618,1.8510811924934387,1.9020421504974365,1.8426820039749146,1.8692872881889344,1.8257187485694886,1.8046177625656128,1.8694717168807984,1.6983485221862793,1.7815443754196167,1.65458242893219
cvm_time,2.2144259095191954,2.196408760547638,2.0972100615501406,2.1590542674064634,2.2840256333351134,2.1742273807525634,2.079522490501404,1.8566813468933105,1.5474906086921691,1.4870806217193604,2.085317611694336,0.4562652349472046,0.6639025688171387,0.6620117664337158,0.4836093783378601,0.3502524495124817,0.7262296557426453,0.5073811650276184
total_time,4.1125131964683534,4.082459104061127,3.9177823066711426,4.027353942394257,4.205734848976135,4.084737646579742,3.9480334281921388,3.727358174324036,3.4025559544563295,3.3926773190498354,3.932910203933716,2.327637219429016,2.4905184864997865,2.4677828907966615,2.3539131045341493,2.0494933843612673,2.508613407611847,2.16347895860672
num_fawdable,34475.85,33389.5,34287.6,33259.85,34305.2,16339.85,8399.5,8109.9,8507.05,8136.0,8381.45,3977.25,2093.6,2000.55,2088.15,1984.15,2101.2,1994.55
num_cvm,2388.15,3474.5,2576.4,3604.15,2558.8,2092.15,816.5,1106.1,708.95,1080.0,834.55,630.75,210.4,303.45,215.85,319.85,202.8,309.45
num_cvm_in_remaining,3.35,2.95,2.9,2.7,2.75,1.5,1.15,0.55,0.6,0.6,0.9,0.25,0.15,0.05,0.2,0.05,0.2,0.1
num_fawd_in_remaining,2.5,2.9,2.5,2.95,2.6,1.3,0.45,1.05,0.8,0.45,0.6,0.1,0.1,0.2,0.1,0.1,0.15,0.15
perc_fawdable,0.9352172851562501,0.9057481553819444,0.9301106770833332,0.9022311740451391,0.9305881076388889,0.8864935980902778,0.911404079861111,0.87998046875,0.9230740017361112,0.8828125,0.9094455295138888,0.8631184895833333,0.9086805555555555,0.8682942708333334,0.9063151041666664,0.8611762152777777,0.9119791666666666,0.8656901041666666
perc_cvm,0.06478271484375,0.09425184461805555,0.06988932291666665,0.09776882595486112,0.0694118923611111,0.11350640190972223,0.0885959201388889,0.12001953125,0.07692599826388889,0.1171875,0.09055447048611112,0.13688151041666666,0.09131944444444444,0.13170572916666667,0.09368489583333332,0.1388237847222222,0.08802083333333331,0.1343098958333333
err_out_of_range,15664.0,24696.7,17033.75,25543.05,16595.1,15238.15,5453.15,8015.3,4626.65,7685.0,5724.85,4784.1,1471.65,2154.65,1502.85,2336.8,1390.25,2284.6
err_reduced_precision,4.35,3.75,3.85,3.6,3.5,2.1,1.6,0.6,0.8,0.7,1.05,0.3,0.25,0.05,0.3,0.05,0.25,0.1
err_total,15668.35,24700.45,17037.6,25546.65,16598.6,15240.25,5454.75,8015.9,4627.45,7685.7,5725.9,4784.4,1471.9,2154.7,1503.15,2336.85,1390.5,2284.7
quant_err,0.060150146484375,0.034759521484375,0.052093505859375,0.0345458984375,0.046173095703125,0.0350341796875,0.050018310546875,0.0305023193359375,0.04949951171875,0.03033447265625,0.04864501953125,0.03466796875,0.04669189453125,0.031463623046875,0.047760009765625,0.030120849609375,0.047698974609375,0.0312347412109375
fault_err,0.0615386962890625,0.03613739013671875,0.05338592529296875,0.03596649169921875,0.04726715087890625,0.03684234619140625,0.05172271728515625,0.0322509765625,0.05085601806640625,0.03199615478515625,0.05037689208984375,0.03710479736328125,0.048394775390625,0.03352813720703125,0.0495697021484375,0.032330322265625,0.04927825927734375,0.033428955078125
