,layers.8.conv1,layers.8.conv0,layers.7.conv1,layers.7.conv0,layers.6.conv1,layers.6.conv0,layers.5.conv1,layers.5.conv0,layers.4.conv1,layers.4.conv0,layers.3.conv1,layers.3.conv0,layers.2.conv1,layers.2.conv0,layers.1.conv1,layers.1.conv0,layers.0.conv1,layers.0.conv0
num_q_codes,36864.0,36864.0,36864.0,36864.0,36864.0,18432.0,9216.0,9216.0,9216.0,9216.0,9216.0,4608.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0
num_in_range,34292.4,32747.2,34005.6,32575.0,34074.8,15863.6,8283.6,7882.0,8418.2,7919.2,8243.2,3788.8,2072.2,1932.6,2037.2,1905.4,2075.8,1920.4
num_out_of_range,2571.6,4116.8,2858.4,4289.0,2789.2,2568.4,932.4,1334.0,797.8,1296.8,972.8,819.2,231.8,371.4,266.8,398.6,228.2,383.6
num_cont_representable,34277.0,32734.2,33989.6,32560.2,34059.6,15858.2,8279.8,7877.8,8414.2,7915.4,8239.8,3788.0,2071.0,1932.4,2035.2,1904.0,2074.6,1919.8
num_remaining,15.4,13.0,16.0,14.8,15.2,5.4,3.8,4.2,4.0,3.8,3.4,0.8,1.2,0.2,2.0,1.4,1.2,0.6
range_time,0.009561967849731446,0.010614347457885743,0.010657024383544923,0.011345434188842773,0.01539440155029297,0.011425590515136719,0.005212068557739258,0.004484844207763672,0.006701946258544922,0.003662776947021484,0.006109428405761719,0.004667139053344727,0.001584911346435547,0.0019755840301513674,0.0014366626739501954,0.0010869503021240234,0.0011014461517333985,0.0017467021942138671
cont_time,0.004986953735351562,0.006495237350463867,0.0065781593322753905,0.005997753143310547,0.009987926483154297,0.003166961669921875,0.0020923614501953125,0.0025795459747314452,0.0015625953674316406,0.0015861988067626953,0.001868295669555664,0.002093505859375,0.0004626274108886719,0.00041527748107910155,0.000681304931640625,0.001203441619873047,0.000644683837890625,0.0006372928619384766
sparsity_time,5.054473876953125e-06,4.9591064453125e-06,5.340576171875e-06,5.14984130859375e-06,6.246566772460937e-06,5.292892456054687e-06,3.910064697265625e-06,4.243850708007813e-06,3.528594970703125e-06,4.00543212890625e-06,3.1948089599609376e-06,3.6716461181640626e-06,3.147125244140625e-06,1.4925003051757813e-05,3.528594970703125e-06,3.337860107421875e-06,3.910064697265625e-06,2.765655517578125e-06
cvm_time,2.3267268180847167,2.3923197269439695,2.5522921562194822,2.4298050880432127,2.513232421875,2.5352221965789794,2.460107135772705,2.3834790229797362,2.5188937187194824,2.347524547576904,2.5724610328674316,1.4244205474853515,1.9541862964630128,0.5067796230316162,1.8712338924407959,1.8547415733337402,1.9484909057617188,1.4622236251831056
total_time,2.341280794143677,2.409434270858765,2.5695326805114744,2.447153425216675,2.5386209964752195,2.5498200416564942,2.467415475845337,2.3905476570129394,2.52716178894043,2.352777528762817,2.580441951751709,1.4311848640441895,1.956236982345581,0.5091854095458984,1.8733553886413574,1.8570353031158446,1.9502409458160401,1.4646103858947754
num_fawdable,34286.0,32742.6,34000.0,32569.0,34069.4,15861.0,8282.6,7880.8,8416.8,7917.0,8242.6,3788.4,2071.6,1932.6,2036.6,1905.0,2075.6,1920.2
num_cvm,2578.0,4121.4,2864.0,4295.0,2794.6,2571.0,933.4,1335.2,799.2,1299.0,973.4,819.6,232.4,371.4,267.4,399.0,228.4,383.8
num_cvm_in_remaining,6.4,4.6,5.6,6.0,5.4,2.6,1.0,1.2,1.4,2.2,0.6,0.4,0.6,0.0,0.6,0.4,0.2,0.2
num_fawd_in_remaining,9.0,8.4,10.4,8.8,9.8,2.8,2.8,3.0,2.6,1.6,2.8,0.4,0.6,0.2,1.4,1.0,1.0,0.4
perc_fawdable,0.9300672743055556,0.8881998697916667,0.9223090277777779,0.8834906684027777,0.9241916232638889,0.8605143229166667,0.8987196180555556,0.8551215277777778,0.91328125,0.8590494791666667,0.8943793402777779,0.8221354166666668,0.8991319444444444,0.8388020833333334,0.8839409722222221,0.8268229166666667,0.9008680555555555,0.8334201388888889
perc_cvm,0.06993272569444445,0.11180013020833332,0.07769097222222222,0.11650933159722221,0.07580837673611113,0.13948567708333334,0.10128038194444444,0.14487847222222222,0.08671875,0.14095052083333334,0.10562065972222223,0.17786458333333335,0.10086805555555556,0.16119791666666666,0.11605902777777777,0.17317708333333334,0.09913194444444444,0.1665798611111111
err_out_of_range,239871.6,386167.4,260319.6,410368.4,256027.2,246058.8,86170.0,129174.0,72759.8,124084.2,90225.8,77010.8,23259.0,33752.2,24841.4,37178.6,21475.4,37713.0
err_reduced_precision,10.2,11.6,8.8,11.2,8.6,4.6,1.4,2.4,1.8,4.6,1.0,0.4,1.4,0.0,1.0,0.6,0.2,0.2
err_total,239881.8,386179.0,260328.4,410379.6,256035.8,246063.4,86171.4,129176.4,72761.6,124088.8,90226.8,77011.2,23260.4,33752.2,24842.4,37179.2,21475.6,37713.2
quant_err,0.060150146484375,0.0347900390625,0.052093505859375,0.034576416015625,0.046142578125,0.0350341796875,0.049957275390625,0.0305023193359375,0.049468994140625,0.03033447265625,0.04864501953125,0.034637451171875,0.04669189453125,0.031494140625,0.047760009765625,0.0301055908203125,0.04766845703125,0.03125
fault_err,0.06141357421875,0.03603515625,0.053253173828125,0.035888671875,0.0471435546875,0.036737060546875,0.051568603515625,0.03216552734375,0.050732421875,0.03192138671875,0.050244140625,0.036944580078125,0.04827880859375,0.033392333984375,0.049530029296875,0.032177734375,0.049102783203125,0.033367919921875
